ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	INTL	VISITOR	TRANSIT_COST	FREE_COST	av1	av2	av3	av4
0	1	47.87902275	66.69592392	58.083333333333336	0.0	1.0	7.75	0	1	1	1	0
1	1	47.87902275	66.69592392	58.083333333333336	1.0	1.0	7.75	0	1	1	1	0
2	1	47.87902275	66.69592392	58.083333333333336	1.0	1.0	7.75	0	1	1	1	0
3	1	47.87902275	66.69592392	58.083333333333336	0.0	1.0	7.75	0	1	1	1	0
4	1	47.87902275	66.69592392	58.083333333333336	1.0	1.0	7.75	0	1	1	1	0
5	1	47.87902275	66.69592392	58.083333333333336	0.0	1.0	7.75	0	1	1	1	0
6	1	35.05629031666667	68.52328677	72.21666666666667	1.0	0.0	7.75	0	1	1	1	0
7	1	35.05629031666667	68.52328677	72.21666666666667	0.0	0.0	7.75	0	1	1	1	0
8	1	35.05629031666667	68.52328677	72.21666666666667	0.0	0.0	7.75	0	1	1	1	0
9	1	28.719047616666668	46.05232605	64.05	0.0	0.0	7.75	0	1	1	1	0
10	1	47.491121750000005	67.82537809	60.833333333333336	1.0	1.0	7.75	0	1	1	1	0
11	1	47.491121750000005	67.82537809	60.833333333333336	0.0	1.0	7.75	0	1	1	1	0
12	1	40.18786431666667	68.17891774	62.233333333333334	1.0	0.0	7.75	0	1	1	1	0
13	1	40.18786431666667	68.17891774	62.233333333333334	1.0	0.0	7.75	0	1	1	1	0
14	1	48.20560496666667	67.06555236	74.53333333333333	1.0	0.0	7.75	0	1	1	1	0
15	1	45.33499255	63.90547715	72.51666666666667	1.0	0.0	7.75	0	1	1	1	0
16	1	45.33499255	63.90547715	72.51666666666667	1.0	0.0	7.75	0	1	1	1	0
17	1	45.33499255	63.90547715	72.51666666666667	1.0	1.0	7.75	0	1	1	1	0
18	1	26.372756516666666	42.94517164	65.53333333333333	1.0	1.0	7.75	0	1	1	1	0
19	1	45.23446906666667	68.21929938	75.11666666666666	0.0	1.0	7.75	0	1	1	1	0
20	1	45.23446906666667	68.21929938	75.11666666666666	1.0	1.0	7.75	0	1	1	1	0
21	1	40.96838366666667	66.60847718	53.68333333333333	1.0	0.0	7.75	0	1	1	1	0
22	1	40.96838366666667	66.60847718	53.68333333333333	0.0	1.0	7.75	0	1	1	1	0
23	1	40.96838366666667	66.60847718	53.68333333333333	1.0	0.0	7.75	0	1	1	1	0
24	1	37.90719008333334	68.39660218	66.83333333333333	1.0	1.0	7.75	0	1	1	1	0
25	1	37.90719008333334	68.39660218	66.83333333333333	1.0	1.0	7.75	0	1	1	1	0
26	1	49.08432460000001	64.82919017	71.11666666666666	0.0	0.0	7.75	0	1	1	1	0
27	1	24.584366583333335	48.90327895	58.766666666666666	1.0	0.0	7.75	0	1	1	1	0
28	1	37.60855563333333	60.25857119	55.13333333333333	0.0	0.0	7.75	0	1	1	1	0
29	1	37.60855563333333	60.25857119	55.13333333333333	1.0	0.0	7.75	0	1	1	1	0
30	1	37.60855563333333	60.25857119	55.13333333333333	1.0	1.0	7.75	0	1	1	1	0
31	1	37.60855563333333	60.25857119	55.13333333333333	0.0	0.0	7.75	0	1	1	1	0
32	1	42.803859966666664	66.83415588	70.38333333333334	0.0	0.0	7.75	0	1	1	1	0
33	1	42.803859966666664	66.83415588	70.38333333333334	1.0	1.0	7.75	0	1	1	1	0
34	1	42.803859966666664	66.83415588	70.38333333333334	0.0	1.0	7.75	0	1	1	1	0
35	1	42.803859966666664	66.83415588	70.38333333333334	0.0	0.0	7.75	0	1	1	1	0
36	1	42.803859966666664	66.83415588	70.38333333333334	1.0	1.0	7.75	0	1	1	1	0
37	1	33.837861966666665	68.44091579	73.08333333333333	1.0	0.0	7.75	0	1	1	1	0
38	1	46.912685016666664	68.04205471	65.05	0.0	0.0	7.75	0	1	1	1	0
39	1	46.912685016666664	68.04205471	65.05	0.0	1.0	7.75	0	1	1	1	0
40	1	39.87602955	68.49460435	74.75	1.0	0.0	7.75	0	1	1	1	0
41	1	39.87602955	68.49460435	74.75	1.0	0.0	7.75	0	1	1	1	0
